SN,PROVINCE,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
36,GANDAKI PROVINCE,GORKHA,12,0,1,3,2,6,32,197,306,61,0,0,620
37,GANDAKI PROVINCE,MANANG,0,0,0,0,0,1,0,1,0,0,0,0,2
38,GANDAKI PROVINCE,MUSTANG,0,0,0,0,0,0,0,0,12,1,0,0,"1
3"
39,GANDAKI PROVINCE,MYAGDI,6,3,2,1,1,7,11,28,115,27,0,0,201
40,GANDAKI PROVINCE,KASKI,"1
8",1,0,1,4,9,86,610,1722,258,0,0,2709
41,GANDAKI PROVINCE,LAMJUNG,10,0,0,7,7,4,20,31,30,5,0,0,114
42,GANDAKI PROVINCE,TANAHU,9,0,2,11,17,9,274,854,588,190,0,0,1954
43,GANDAKI PROVINCE,NAWALPARASI EAST,6,3,4,3,4,3,11,29,63,20,0,0,146
44,GANDAKI PROVINCE,SYANGJA,5,5,3,1,4,3,19,77,158,18,0,0,293
45,GANDAKI PROVINCE,PARBAT,1,0,2,1,2,3,22,620,659,111,0,0,1421
46,GANDAKI PROVINCE,BAGLUNG,0,2,4,0,2,1,12,58,289,221,0,0,589
47,LUMBINI PROVINCE,RUKUM EAST,0,0,1,0,0,1,0,1,6,0,0,0,9
48,LUMBINI PROVINCE,ROLPA,0,0,1,1,0,1,2,12,17,3,0,0,"3
7"
49,LUMBINI PROVINCE,PYUTHAN,0,0,1,1,0,1,0,9,12,4,0,0,28
50,LUMBINI PROVINCE,GULMI,3,3,2,2,3,3,4,30,41,5,0,0,96
51,LUMBINI PROVINCE,ARGHAKHANCHI,0,1,2,2,6,9,9,41,55,5,0,0,130
52,LUMBINI PROVINCE,PALPA,4,6,10,2,0,11,25,46,103,13,0,0,220
53,LUMBINI PROVINCE,NAWALPARASI WEST,1,0,2,0,0,1,4,8,13,2,0,0,31
54,LUMBINI PROVINCE,RUPANDEHI,3,8,6,9,2,2,12,28,81,7,0,0,158
55,LUMBINI PROVINCE,KAPILBASTU,6,2,2,4,0,0,0,9,18,1,0,0,42
56,LUMBINI PROVINCE,DANG,3,4,1,2,4,8,11,82,151,20,0,0,286
57,LUMBINI PROVINCE,BANKE,0,0,1,4,1,1,5,9,27,4,0,0,52
58,LUMBINI PROVINCE,BARDIYA,0,0,0,1,7,2,3,6,24,3,0,0,46
59,KARNALI PROVINCE,DOLPA,0,0,0,0,0,0,0,3,0,0,0,0,3
60,KARNALI PROVINCE,MUGU,0,0,0,0,0,1,1,1,1,2,0,0,6
61,KARNALI PROVINCE,HUMLA,0,0,0,0,0,0,0,0,0,0,0,0,0
62,KARNALI PROVINCE,JUMLA,0,0,0,0,0,0,0,2,4,4,0,0,10
63,KARNALI PROVINCE,KALIKOT,0,0,0,1,0,0,0,10,8,3,0,0,22
64,KARNALI PROVINCE,DAILEKH,0,0,0,1,2,1,1,4,9,1,0,0,19
65,KARNALI PROVINCE,JAJARKOT,0,0,1,0,0,0,0,3,14,1,0,0,19
