SN,PROVINCE,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1,KOSHI PROVINCE,TAPLEJUNG,0,0,0,0,1,0,1,2,2,0,0,0,6
2,KOSHI PROVINCE,SANKHUWASABHA,3,8,6,6,4,5,27,32,45,0,0,0,136
3,KOSHI PROVINCE,SOLUKHUMBU,2,0,0,0,1,0,1,1,4,0,0,0,9
4,KOSHI PROVINCE,OKHALDHUNGA,5,16,6,3,7,8,14,22,15,0,0,0,"9
6"
5,KOSHI PROVINCE,KHOTANG,1,0,1,1,1,6,5,8,9,0,0,0,32
6,KOSHI PROVINCE,BHOJPUR,4,4,2,4,9,16,23,41,30,0,0,0,133
7,KOSHI PROVINCE,DHANKUTA,2,5,5,1,2,29,15,17,20,0,0,0,96
8,KOSHI PROVINCE,TERHATHUM,0,0,0,0,2,10,13,6,5,0,0,0,36
9,KOSHI PROVINCE,PANCHTHAR,0,1,1,0,2,0,4,14,31,0,0,0,53
10,KOSHI PROVINCE,ILAM,8,3,3,4,2,11,6,3,5,0,0,0,45
11,KOSHI PROVINCE,JHAPA,"2
2",17,11,10,"4
4",15,10,38,36,0,0,0,203
12,KOSHI PROVINCE,MORANG,8,1,2,1,1,2,5,54,68,0,0,0,142
13,KOSHI PROVINCE,SUNSARI,5,3,2,4,3,4,11,36,72,0,0,0,140
14,KOSHI PROVINCE,UDAYAPUR,2,0,1,0,2,0,4,24,33,0,0,0,66
15,MADHESH PROVINCE,SAPTARI,1,0,0,1,1,0,0,10,24,0,0,0,37
16,MADHESH PROVINCE,SIRAHA,0,0,0,0,0,2,1,4,20,0,0,0,27
17,MADHESH PROVINCE,DHANUSA,1,0,0,0,0,0,1,4,22,0,0,0,28
18,MADHESH PROVINCE,MAHOTTARI,0,0,0,1,0,0,0,0,4,0,0,0,5
19,MADHESH PROVINCE,SARLAHI,0,0,0,0,0,2,1,11,19,0,0,0,"3
3"
20,MADHESH PROVINCE,RAUTAHAT,0,0,1,4,5,3,2,6,18,0,0,0,39
21,MADHESH PROVINCE,BARA,2,2,1,1,2,3,3,9,20,0,0,0,43
22,MADHESH PROVINCE,PARSA,2,1,0,1,1,0,1,14,13,0,0,0,33
23,BAGMATI PROVINCE,DOLAKHA,0,1,2,2,1,0,3,4,21,0,0,0,34
24,BAGMATI PROVINCE,SINDHUPALCHOK,1,10,25,2,5,2,13,16,25,0,0,0,99
25,BAGMATI PROVINCE,RASUWA,1,0,0,0,0,0,0,4,5,0,0,0,10
26,BAGMATI PROVINCE,DHADING,2,0,0,0,2,0,5,22,59,0,0,0,90
27,BAGMATI PROVINCE,NUWAKOT,4,0,2,2,2,4,3,27,79,0,0,0,123
28,BAGMATI PROVINCE,KATHMANDU,"1
6",7,14,36,"3
2",51,109,284,991,0,0,0,1540
29,BAGMATI PROVINCE,BHAKTAPUR,14,3,2,3,4,7,7,41,94,0,0,0,175
30,BAGMATI PROVINCE,LALITPUR,10,1,4,2,1,2,11,82,234,0,0,0,347
31,BAGMATI PROVINCE,KAVREPALANCHOK,2,2,0,0,8,15,36,40,54,0,0,0,157
32,BAGMATI PROVINCE,RAMECHHAP,2,7,0,1,1,1,3,6,25,0,0,0,46
33,BAGMATI PROVINCE,SINDHULI,2,3,1,1,0,3,5,12,27,0,0,0,54
34,BAGMATI PROVINCE,MAKWANPUR,"1
1",11,13,12,9,9,15,45,69,0,0,0,194
35,BAGMATI PROVINCE,CHITAWAN,10,10,11,25,"1
6",7,134,313,207,0,0,0,733
36,GANDAKI PROVINCE,GORKHA,12,0,1,3,2,6,32,197,198,0,0,0,451
37,GANDAKI PROVINCE,MANANG,0,0,0,0,0,1,0,1,0,0,0,0,2
38,GANDAKI PROVINCE,MUSTANG,0,0,0,0,0,0,0,0,6,0,0,0,6
39,GANDAKI PROVINCE,MYAGDI,6,3,2,1,1,7,11,27,67,0,0,0,125
40,GANDAKI PROVINCE,KASKI,"1
8",1,0,1,4,9,86,609,1175,0,0,0,1903
41,GANDAKI PROVINCE,LAMJUNG,10,0,0,7,7,4,20,31,26,0,0,0,105
42,GANDAKI PROVINCE,TANAHU,9,0,2,11,"1
7",9,274,854,469,0,0,0,1645
43,GANDAKI PROVINCE,NAWALPARASI EAST,6,3,4,3,4,3,11,29,42,0,0,0,105
44,GANDAKI PROVINCE,SYANGJA,5,5,3,1,4,3,19,77,117,0,0,0,234
45,GANDAKI PROVINCE,PARBAT,1,0,2,1,2,3,22,620,459,0,0,0,1110
46,GANDAKI PROVINCE,BAGLUNG,0,2,4,0,2,1,12,58,206,0,0,0,285
47,LUMBINI PROVINCE,RUKUM EAST,0,0,1,0,0,1,0,1,2,0,0,0,5
48,LUMBINI PROVINCE,ROLPA,0,0,1,1,0,1,2,12,8,0,0,0,"2
5"
49,LUMBINI PROVINCE,PYUTHAN,0,0,1,1,0,1,0,9,8,0,0,0,20
50,LUMBINI PROVINCE,GULMI,3,3,2,2,3,3,4,23,24,0,0,0,67
51,LUMBINI PROVINCE,ARGHAKHANCHI,0,1,2,2,6,9,9,41,29,0,0,0,99
52,LUMBINI PROVINCE,PALPA,4,6,10,2,0,11,25,46,92,0,0,0,196
53,LUMBINI PROVINCE,NAWALPARASI WEST,1,0,2,0,0,1,4,8,9,0,0,0,25
54,LUMBINI PROVINCE,RUPANDEHI,3,8,6,9,2,2,12,28,51,0,0,0,121
55,LUMBINI PROVINCE,KAPILBASTU,6,2,2,4,0,0,0,9,12,0,0,0,35
56,LUMBINI PROVINCE,DANG,3,4,1,2,4,8,11,70,53,0,0,0,156
57,LUMBINI PROVINCE,BANKE,0,0,1,4,1,1,5,8,16,0,0,0,36
58,LUMBINI PROVINCE,BARDIYA,0,0,0,1,7,2,3,6,15,0,0,0,34
59,KARNALI PROVINCE,DOLPA,0,0,0,0,0,0,0,3,0,0,0,0,3
60,KARNALI PROVINCE,MUGU,0,0,0,0,0,1,1,1,1,0,0,0,4
61,KARNALI PROVINCE,HUMLA,0,0,0,0,0,0,0,0,0,0,0,0,0
62,KARNALI PROVINCE,JUMLA,0,0,0,0,0,0,0,2,3,0,0,0,5
63,KARNALI PROVINCE,KALIKOT,0,0,0,1,0,0,0,10,3,0,0,0,"1
4"
64,KARNALI PROVINCE,DAILEKH,0,0,0,1,2,1,1,4,7,0,0,0,16
65,KARNALI PROVINCE,JAJARKOT,0,0,1,0,0,0,0,3,8,0,0,0,12
66,KARNALI PROVINCE,RUKUM WEST,0,2,3,1,0,1,0,6,9,0,0,0,22
67,KARNALI PROVINCE,SALYAN,0,0,0,1,1,1,1,5,9,0,0,0,18
68,KARNALI PROVINCE,SURKHET,0,0,2,0,0,1,9,37,33,0,0,0,82
69,SUDUR PASHCHIM PROVINCE,BAJURA,2,4,5,1,1,2,1,7,5,0,0,0,28
70,SUDUR PASHCHIM PROVINCE,BAJHANG,0,0,0,1,1,1,1,1,10,0,0,0,15
71,SUDUR PASHCHIM PROVINCE,DARCHULA,0,0,0,1,7,6,5,7,11,0,0,0,37
72,SUDUR PASHCHIM PROVINCE,BAITADI,0,0,0,0,0,3,3,16,28,0,0,0,50
73,SUDUR PASHCHIM PROVINCE,DADELDHURA,0,0,1,0,2,2,3,7,24,0,0,0,39
74,SUDUR PASHCHIM PROVINCE,DOTI,4,8,9,6,2,20,4,3,14,0,0,0,70
75,SUDUR PASHCHIM PROVINCE,ACHHAM,0,0,10,12,2,9,16,20,16,0,0,0,85
76,SUDUR PASHCHIM PROVINCE,KAILALI,1,9,7,12,7,14,23,75,67,0,0,0,215
77,SUDUR PASHCHIM PROVINCE,KANCHANPUR,6,4,7,5,4,0,9,21,43,0,0,0,99
